exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //examples:Circle
-----------------------------------------------------------------------------
frame,robot_id,x,y,has_collided
0,0,0,0,0
0,1,2.5,0,0
0,2,2.42146,0.621725,0
0,3,2.19077,1.20438,0
0,4,1.82242,1.71137,0
0,5,1.33957,2.11082,0
0,6,0.772542,2.37764,0
0,7,0.156976,2.49507,0
0,8,-0.468454,2.45572,0
0,9,-1.06445,2.26207,0
0,10,-1.59356,1.92628,0
0,11,-2.02254,1.46946,0
0,12,-2.32444,0.920311,0
0,13,-2.48029,0.313332,0
0,14,-2.48029,-0.313333,0
0,15,-2.32444,-0.920312,0
0,16,-2.02254,-1.46946,0
0,17,-1.59356,-1.92628,0
0,18,-1.06445,-2.26207,0
0,19,-0.468452,-2.45572,0
0,20,0.156976,-2.49507,0
0,21,0.772543,-2.37764,0
0,22,1.33957,-2.11082,0
0,23,1.82242,-1.71137,0
0,24,2.19077,-1.20438,0
0,25,2.42146,-0.621723,0
1,0,0,0,0
1,1,2.43333,0,0
1,2,2.35689,0.605145,0
1,3,2.13235,1.17227,0
1,4,1.77382,1.66573,0
1,5,1.30385,2.05453,0
1,6,0.751941,2.31424,0
1,7,0.15279,2.42853,0
1,8,-0.455961,2.39023,0
1,9,-1.03606,2.20175,0
1,10,-1.55107,1.87492,0
1,11,-1.96861,1.43028,0
1,12,-2.26246,0.895769,0
1,13,-2.41415,0.304977,0
1,14,-2.41415,-0.304978,0
1,15,-2.26246,-0.89577,0
1,16,-1.96861,-1.43028,0
1,17,-1.55106,-1.87492,0
1,18,-1.03606,-2.20175,0
1,19,-0.45596,-2.39023,0
1,20,0.15279,-2.42853,0
1,21,0.751942,-2.31424,0
1,22,1.30385,-2.05453,0
1,23,1.77382,-1.66573,0
1,24,2.13235,-1.17227,0
1,25,2.35689,-0.605144,0
2,0,0,0,0
2,1,2.37242,-0.00138548,0
2,2,2.30119,0.588699,0
2,3,2.08249,1.14249,0
2,4,1.72966,1.62426,0
2,5,1.2745,2.00442,0
2,6,0.735983,2.2584,0
2,7,0.148986,2.36807,0
2,8,-0.443045,2.33361,0
2,9,-1.00947,2.15012,0
2,10,-1.51245,1.82824,0
2,11,-1.92043,1.39785,0
2,12,-2.20613,0.873469,0
2,13,-2.35631,0.299765,0
2,14,-2.35404,-0.297385,0
2,15,-2.20633,-0.872058,0
2,16,-1.92288,-1.39448,0
2,17,-1.51567,-1.82887,0
2,18,-1.01027,-2.14693,0
2,19,-0.447127,-2.33283,0
2,20,0.147072,-2.37074,0
2,21,0.733222,-2.25662,0
2,22,1.27099,-2.00664,0
2,23,1.73009,-1.62752,0
2,24,2.08049,-1.14613,0
2,25,2.29821,-0.590079,0
3,0,0,0,0
3,1,2.32002,-0.0050355,0
3,2,2.23649,0.57261,0
3,3,2.02428,1.11,0
3,4,1.68106,1.57863,0
3,5,1.23831,1.94843,0
3,6,0.715789,2.19486,0
3,7,0.1448,2.30154,0
3,8,-0.431097,2.26803,0
3,9,-0.980701,2.08998,0
3,10,-1.46996,1.77687,0
3,11,-1.87465,1.36825,0
3,12,-2.14415,0.848927,0
3,13,-2.30193,0.295892,0
3,14,-2.28816,-0.287228,0
3,15,-2.15895,-0.849373,0
3,16,-1.86865,-1.35571,0
3,17,-1.47351,-1.77723,0
3,18,-0.981883,-2.08661,0
3,19,-0.434092,-2.26745,0
3,20,0.14246,-2.30423,0
3,21,0.71262,-2.19322,0
3,22,1.23574,-1.95006,0
3,23,1.68152,-1.58186,0
3,24,2.02186,-1.11439,0
3,25,2.23321,-0.575268,0
4,0,0,0,0
4,1,2.26213,-0.00288513,0
4,2,2.17839,0.556006,0
4,3,1.97474,1.08019,0
4,4,1.63704,1.53728,0
4,5,1.20733,1.89655,0
