exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //examples:Circle
-----------------------------------------------------------------------------
frame,robot_id,x,y,has_collided
0,0,0,0,0
0,1,2,0,0
1,0,0,0,0
1,1,1.93399,0.00656757,0
2,0,0,-1.83781e-08,0
2,1,1.86798,0.013134,0
3,0,3.97364e-09,-2.48353e-09,0
3,1,1.80199,0.0196993,0
4,0,-3.97364e-09,-5.76178e-08,0
4,1,1.73602,0.0262635,0
5,0,0,0,0
5,1,1.67005,0.0328262,0
6,0,-1.58946e-08,-1.90238e-07,0
6,1,1.6041,0.0393878,0
7,0,0,0,0
7,1,1.53816,0.0459475,0
8,0,-6.75519e-08,-6.64592e-07,0
8,1,1.47224,0.0525065,0
9,0,0,0,0
9,1,1.40633,0.0590622,0
10,0,-2.38419e-07,-2.34793e-06,0
10,1,1.34044,0.0656192,0
11,0,0,0,0
11,1,1.27457,0.0721681,0
12,0,-8.38439e-07,-8.37694e-06,0
12,1,1.20872,0.0787258,0
13,0,0,0,0
13,1,1.14288,0.0852589,0
14,0,-3.0001e-06,-3.02032e-05,0
14,1,1.07708,0.0918284,0
15,0,0,0,0
15,1,1.01128,0.0983137,0
16,0,-1.09673e-05,-0.000110147,0
16,1,0.945526,0.104937,0
17,0,0,0,0
17,1,0.879765,0.111257,0
18,0,-4.06146e-05,-0.000407356,0
18,1,0.814086,0.118091,0
19,0,0,0,0
19,1,0.748319,0.123803,0
20,0,-0.000154297,-0.00153555,0
20,1,0.68279,0.131453,0
21,0,0,0,0
21,1,0.616845,0.134832,0
22,0,-0.000619086,-0.00594469,0
22,1,0.551754,0.145683,0
23,0,0,0,0
23,1,0.485195,0.141883,0
24,0,-0.00240071,-0.0202566,0
24,1,0.422375,0.164199,0
25,0,0,0,0
25,1,0.355861,0.15969,0
26,0,-0.0030839,-0.0277641,0
26,1,0.323536,0.130951,0
27,0,-0.00102804,0.000618732,0
27,1,0.256975,0.127199,0
28,0,-0.0146116,-0.0465801,0
28,1,0.240295,0.104979,0
29,0,-0.00391747,0.00122609,0
29,1,0.173702,0.101859,0
30,0,-0.0659997,-0.0182286,0
30,1,0.191987,0.122181,0
31,0,-0.00173896,-0.000480289,0
31,1,0.125423,0.118471,0
32,0,-0.00699708,-0.00654527,0
32,1,0.107816,0.160556,0
33,0,0,0,0
33,1,0.0421267,0.157427,0
34,0,-0.0060626,-0.0226558,0
34,1,-0.0156278,0.18487,0
35,0,0,0,0
35,1,-0.082007,0.178686,0
36,0,0,0,0
36,1,-0.148386,0.172502,0
37,0,0,0,0
37,1,-0.214765,0.166318,0
38,0,0,0,0
38,1,-0.281145,0.160134,0
39,0,0,0,0
39,1,-0.347524,0.15395,0
40,0,0,0,0
40,1,-0.413903,0.147766,0
41,0,0,0,0
41,1,-0.480282,0.141582,0
42,0,0,0,0
42,1,-0.546662,0.135398,0
43,0,0,0,0
43,1,-0.613041,0.129213,0
44,0,0,0,0
44,1,-0.67942,0.123029,0
45,0,0,0,0
45,1,-0.745799,0.116845,0
46,0,0,0,0
46,1,-0.812179,0.110661,0
47,0,0,0,0
47,1,-0.878558,0.104477,0
48,0,0,0,0
48,1,-0.944937,0.098293,0
49,0,0,0,0
49,1,-1.01132,0.0921089,0
50,0,0,0,0
50,1,-1.0777,0.0859248,0
51,0,0,0,0
51,1,-1.14407,0.0797407,0
52,0,0,0,0
52,1,-1.21045,0.0735566,0
53,0,0,0,0
53,1,-1.27683,0.0673725,0
54,0,0,0,0
54,1,-1.34321,0.0611884,0
55,0,0,0,0
55,1,-1.40959,0.0550043,0
56,0,0,0,0
56,1,-1.47597,0.0488202,0
57,0,0,0,0
57,1,-1.54235,0.0426361,0
58,0,0,0,0
58,1,-1.60873,0.036452,0
59,0,0,0,0
59,1,-1.67511,0.0302679,0
60,0,0,0,0
60,1,-1.74149,0.0240838,0
61,0,0,0,0
61,1,-1.80787,0.0178997,0
62,0,0,0,0
62,1,-1.87425,0.0117156,0
